index,split,class,label,file,relative_path,image_sha256,run,seed,support_id,query_id,sequence_group
0,support,Healthy Leaf,0,Healthy Leaf_20241104_184607.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_184607.jpg.jpg,8f95482088599f19002e8f7d137694ee3a389f9f4b7a59d188aea393c9a2a6bf,4,623,,,
1,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_191214.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_191214.jpg.jpg,926d5e81142c0bee4ceb5e7498f01a1f8d9f1c931e74803613e6ea8af1f875b2,4,623,,,
2,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_191709_1.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_191709_1.jpg.jpg,8432eca53b82f6dba8d45c713eacc4ff6ee2ef6622e043cf8243371097270c28,4,623,,,
3,support,Healthy Leaf,0,Healthy Leaf_20241104_190127.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_190127.jpg.jpg,0a6c8654d06beece76796b04c7ae46f9c01ae6d23818a2cc05ddaec29a84ac76,4,623,,,
4,support,Healthy Leaf,0,Healthy Leaf_20241104_184134.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_184134.jpg.jpg,df5654e2a0d78066f2f0c518fd6ea8906de5770d5a1ab078458b929c26eab780,4,623,,,
5,support,Healthy Leaf,0,Healthy Leaf_20241104_192130.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_192130.jpg.jpg,5b82b4a42febf282473090ee570f360f6096c10aa5730efe4100184ecedabe54,4,623,,,
6,support,Healthy Leaf,0,Healthy Leaf_20241104_190908.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_190908.jpg.jpg,30e8948266cf099f748d8b53a3d6310ff2d928ebdd76342e17b6a6f42775bfe3,4,623,,,
7,support,Healthy Leaf,0,Healthy Leaf_20241104_191134.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_191134.jpg.jpg,8be0e4a1402488701a830ac1d5fd5bade7d87836c36fcc7c6413f35850337bbb,4,623,,,
8,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_191300.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_191300.jpg.jpg,89a2e41d768099125b79f11975d1b164dca6f721c1746c7a73c191c67ffa0bdf,4,623,,,
9,support,Healthy Leaf,0,Healthy Leaf_20241104_192224.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_192224.jpg.jpg,5c818503e40bdd8a6244d22395096cb66d887f14d94441d5f7e96bc95d134704,4,623,,,
10,support,Powdery Mildew,1,White Spot_IMG_20241108_185738.jpg.jpg,Powdery Mildew/White Spot_IMG_20241108_185738.jpg.jpg,ec42ea36d3c58255c5353b686f355157b5cbf84831668afe23a2a9892028a0fe,4,623,,,
11,support,Powdery Mildew,1,White Spot_20241104_012314.jpg.jpg,Powdery Mildew/White Spot_20241104_012314.jpg.jpg,5f34290ef811c6dd56687ab8163694b5bb6795bc378bf52da930f321c6b8f2ad,4,623,,,
12,support,Powdery Mildew,1,White Spot_20241104_012450.jpg.jpg,Powdery Mildew/White Spot_20241104_012450.jpg.jpg,a29615a1c0b6b64f86c5efd25d445b86db8452c5e833bc910fccdbe3508f80f8,4,623,,,
13,support,Powdery Mildew,1,White Spot_IMG_20241108_184321.jpg.jpg,Powdery Mildew/White Spot_IMG_20241108_184321.jpg.jpg,83630a027c41314a1a27bb8531851a0826d4f9d3299e5502fb9bb0f99a3239a8,4,623,,,
14,support,Powdery Mildew,1,White Spot_20241104_012259.jpg.jpg,Powdery Mildew/White Spot_20241104_012259.jpg.jpg,d92f3373a77438381f2ac93e6f682c15f5a4bf467abed5e7866002d7f01c98c4,4,623,,,
15,support,Powdery Mildew,1,White Spot_20241104_005255.jpg.jpg,Powdery Mildew/White Spot_20241104_005255.jpg.jpg,4b50c564421554273cd85b089d15f188056deebf4a2466888699566a1b2ee826,4,623,,,
16,support,Powdery Mildew,1,White Spot_IMG_20241108_184519.jpg.jpg,Powdery Mildew/White Spot_IMG_20241108_184519.jpg.jpg,51878841e773dd82b43a307ea72e18e1fec2eab26da118c8066b9a3b373f9d24,4,623,,,
17,support,Powdery Mildew,1,White Spot_IMG_20241108_185920.jpg.jpg,Powdery Mildew/White Spot_IMG_20241108_185920.jpg.jpg,cd010c02c63e8e9e38732890148f580877b7aa0ba5b7570e7f2bb5b57273b639,4,623,,,
18,support,Powdery Mildew,1,White Spot_20241104_014414.jpg.jpg,Powdery Mildew/White Spot_20241104_014414.jpg.jpg,034b7b22156e037382e29a7c79ddb31d26f9aecc46acc41b9e5fb02c357d01f0,4,623,,,
19,support,Powdery Mildew,1,White Spot_20241104_013305.jpg.jpg,Powdery Mildew/White Spot_20241104_013305.jpg.jpg,c1b1021beb917377752fd29e0e566470501f145b2aefbbfe3e0d88b3c8ad1a83,4,623,,,
20,support,Shot Hole Leaf,2,Spot Leaf_20241103_191651.jpg.jpg,Shot Hole Leaf/Spot Leaf_20241103_191651.jpg.jpg,6fcc48fc7bc538becc58957d7885d960dbb79b009189d99423b3b5fdd548e1af,4,623,,,
21,support,Shot Hole Leaf,2,Spot Leaf_IMG_20241108_193752.jpg.jpg,Shot Hole Leaf/Spot Leaf_IMG_20241108_193752.jpg.jpg,547fb9dd1b59145480d94769c7f0cd28de9c2a5088116d5953242a765c5b28cc,4,623,,,
22,support,Shot Hole Leaf,2,Spot Leaf_IMG_20241103_195807.jpg.jpg,Shot Hole Leaf/Spot Leaf_IMG_20241103_195807.jpg.jpg,a762268ca0534c00670b14b7a238fc134dff9d1ccc22dbd37689309e4b67c2be,4,623,,,
23,support,Shot Hole Leaf,2,Spot Leaf_IMG_20241103_195324.jpg.jpg,Shot Hole Leaf/Spot Leaf_IMG_20241103_195324.jpg.jpg,ea256b11845aa6033abb9a59b660c9853ce34fc89a67df6dccb7cac011726c8f,4,623,,,
24,support,Shot Hole Leaf,2,Spot Leaf_IMG_20241108_193011.jpg.jpg,Shot Hole Leaf/Spot Leaf_IMG_20241108_193011.jpg.jpg,dc47953c6dd93cd300c8a665bb7df9d55737cf0dc04b5a3fd22b0092a3b0e665,4,623,,,
25,support,Shot Hole Leaf,2,Spot Leaf_IMG_20241108_193727.jpg.jpg,Shot Hole Leaf/Spot Leaf_IMG_20241108_193727.jpg.jpg,2aa66012f04009edf938d3f400e2a28fe47d1ff9f9eda5fc037e1790b6fded55,4,623,,,
