index,split,class,label,file,relative_path,image_sha256,run,seed,support_id,query_id,sequence_group
0,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_182916.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_182916.jpg.jpg,f5e588ca9423f8fccb51cb0fc6e21e75bd46e0231c45c56f6b9cef61996b5d86,3,622,,,
1,support,Healthy Leaf,0,Healthy Leaf_20241104_191500.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_191500.jpg.jpg,54e34c84b9bcc9ae2b86eaf95445b7eba612dc84045a6e346db09e75da411d44,3,622,,,
2,support,Healthy Leaf,0,Healthy Leaf_20241104_183531.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_183531.jpg.jpg,ffb33d05bffb04342de7df5c1e3e2f3d06a81cc5dd6296ded52da383a1aeee68,3,622,,,
3,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_192121_1.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_192121_1.jpg.jpg,e67845c78db0ff47ef769ef3c442572f4e5800d5f1eee5cb17477f979b66f4db,3,622,,,
4,support,Healthy Leaf,0,Healthy Leaf_20241104_183852.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_183852.jpg.jpg,ef27a6ce97e9beb66d252a30374217aab2f4cd2b168ad7231c90bfd8db50dab4,3,622,,,
5,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_191659.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_191659.jpg.jpg,08bb1096838e0c975b3ee13c6448cb6c25d34dad954404e3064d28410a70e28a,3,622,,,
6,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_191355.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_191355.jpg.jpg,927e671f24a2c77f35be846cf263f89ced4cab2de76a1192300b7656bc58f023,3,622,,,
7,support,Healthy Leaf,0,Healthy Leaf_20241104_182305.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182305.jpg.jpg,d49ab07f10bb79a48fa0a431fce69a16a0cd01940474b5976ad60630620492d9,3,622,,,
8,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_182321.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_182321.jpg.jpg,9cfc36d2359ff6675a821595c5e927747373e9315213dc99100dc1985ca0e9da,3,622,,,
9,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_190000.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_190000.jpg.jpg,036a5037143e5d403c841c6f7166e8f01acbee9094922e39ff478e1048be832f,3,622,,,
10,support,Powdery Mildew,1,White Spot_IMG_20241108_184553.jpg.jpg,Powdery Mildew/White Spot_IMG_20241108_184553.jpg.jpg,3afae04f5f52041a974a4e1a8e2731e5cc0e74d78c21aa1e89851bfe0739982b,3,622,,,
11,support,Powdery Mildew,1,White Spot_IMG_20241108_182919_1.jpg.jpg,Powdery Mildew/White Spot_IMG_20241108_182919_1.jpg.jpg,2c6d7497a9ff13458446141f910a113f16e41ab69df87c4f4afbcf412cd4a2e1,3,622,,,
12,support,Powdery Mildew,1,White Spot_20241104_003734.jpg.jpg,Powdery Mildew/White Spot_20241104_003734.jpg.jpg,db7696bdf0881dc31e0eede813521d0d23c9abae3524d3bc9fa429526c24e022,3,622,,,
13,support,Powdery Mildew,1,White Spot_20241104_014338.jpg.jpg,Powdery Mildew/White Spot_20241104_014338.jpg.jpg,ea8e7a22f48e632b766cb8b8bb10a3087043388347a915ac4efed4e6a34ed60f,3,622,,,
14,support,Powdery Mildew,1,White Spot_IMG_20241108_184833.jpg.jpg,Powdery Mildew/White Spot_IMG_20241108_184833.jpg.jpg,ccb408c5d80482cc4a58591c1467c0e03b6c24cff27f53bffa1126de19b8b447,3,622,,,
15,support,Powdery Mildew,1,White Spot_IMG_20241108_183918.jpg.jpg,Powdery Mildew/White Spot_IMG_20241108_183918.jpg.jpg,9f5964fae798c771704d133451d154aa6549275662bcaa8cbab1f5e412b1907a,3,622,,,
16,support,Powdery Mildew,1,White Spot_20241104_013550.jpg.jpg,Powdery Mildew/White Spot_20241104_013550.jpg.jpg,0af1bdce8b95c4a30619309e34b8124a200db608b80721ea3cb77cc81d670350,3,622,,,
17,support,Powdery Mildew,1,White Spot_IMG_20241108_184327.jpg.jpg,Powdery Mildew/White Spot_IMG_20241108_184327.jpg.jpg,2e79cb3fbb16b19346bf4144808f95a64fecfda495b070b32dd5ffe1fa99516f,3,622,,,
18,support,Powdery Mildew,1,White Spot_IMG_20241108_191255.jpg.jpg,Powdery Mildew/White Spot_IMG_20241108_191255.jpg.jpg,925be40bf9ee4cc7c1454e317d4b29c3256256188353d37a30ca1d5778697289,3,622,,,
19,support,Powdery Mildew,1,White Spot_20241104_013141.jpg.jpg,Powdery Mildew/White Spot_20241104_013141.jpg.jpg,c8c1e6f11df5d05788865af6f800c8e54863830fcae504f1c86c6555fda1b79d,3,622,,,
20,support,Shot Hole Leaf,2,Spot Leaf_IMG_20241103_194956.jpg.jpg,Shot Hole Leaf/Spot Leaf_IMG_20241103_194956.jpg.jpg,7fa1bc88a776db302804c06ea5731c1a0e46ae51300d8bf033a9e96158099aba,3,622,,,
21,support,Shot Hole Leaf,2,Spot Leaf_IMG_20241108_193718.jpg.jpg,Shot Hole Leaf/Spot Leaf_IMG_20241108_193718.jpg.jpg,23b2e1c94823e2d87f6ef5ab1c0a1846c32427374416132cab2c31886abca0a7,3,622,,,
22,support,Shot Hole Leaf,2,Spot Leaf_IMG_20241108_193701.jpg.jpg,Shot Hole Leaf/Spot Leaf_IMG_20241108_193701.jpg.jpg,54004b2567b18ab284d3ec45117f59bd0d49b4cf70c901a171fe7b16aa293c72,3,622,,,
